Province,Date,negative,presumptive_negative,under_investigation,presumptive_positive,confirmed_positive,resolved,deceased,total_testing,Hospitalization,ICU,Ventilator,source,Note
ON,2020-02-04,90,12,34,0,3,0,NA,139,NA,NA,NA,WBM,"backfill"
ON,2020-02-05,96,8,43,0,3,0,NA,150,NA,NA,NA,WBM,"backfill"
ON,2020-02-06,104,0,62,0,3,0,NA,169,NA,NA,NA,WBM,"backfill"
ON,2020-02-07,104,0,62,0,3,0,NA,169,NA,NA,NA,WBM,"did not update"
ON,2020-02-08,130,25,39,0,3,0,NA,197,NA,NA,NA,WBM,"backfill"
ON,2020-02-09,130,25,39,0,3,0,NA,197,NA,NA,NA,WBM,"did not update"
ON,2020-02-10,167,NA,8,0,3,0,NA,259,NA,NA,NA,WBM,"backfill"
ON,2020-02-11,184,NA,19,0,3,0,NA,285,NA,NA,NA,WBM,"backfill"
ON,2020-02-12,257,NA,9,0,3,1,NA,313,NA,NA,NA,WBM,"backfill"
ON,2020-02-13,306,NA,15,0,3,1,NA,340,NA,NA,NA,WBM,"backfill"
ON,2020-02-14,353,NA,8,0,3,1,NA,364,NA,NA,NA,WBM,"backfill"
ON,2020-02-15,353,NA,8,0,3,1,NA,364,NA,NA,NA,WBM,"backfill"
ON,2020-02-16,353,NA,8,0,3,1,NA,364,NA,NA,NA,WBM,"backfill"
ON,2020-02-17,399,NA,0,0,3,1,NA,402,NA,NA,NA,WBM,"backfill"
ON,2020-02-18,418,NA,0,0,3,1,NA,421,NA,NA,NA,WBM,"backfill"
ON,2020-02-19,436,NA,17,0,3,1,NA,456,NA,NA,NA,WBM,"backfill"
ON,2020-02-20,462,NA,14,0,3,2,NA,479,NA,NA,NA,WBM,"backfill"
ON,2020-02-21,483,NA,12,0,3,3,NA,498,NA,NA,NA,WBM,"backfill"
ON,2020-02-22,483,NA,12,0,3,3,NA,498,NA,NA,NA,WBM,"backfill"
ON,2020-02-23,483,NA,12,0,3,3,NA,498,NA,NA,NA,WBM,"backfill"
ON,2020-02-24,540,NA,9,0,4,3,NA,553,NA,NA,NA,WBM,NA
ON,2020-02-25,568,NA,21,0,4,3,NA,593,NA,NA,NA,WBM,"backfill"
ON,2020-02-26,610,NA,14,1,4,3,NA,629,NA,NA,NA,WBM,"backfill"
ON,2020-02-27,672,NA,21,1,5,3,NA,699,NA,NA,NA,WBM,"backfill"
ON,2020-02-28,739,NA,22,NA,6,3,NA,768,NA,NA,NA,WBM,"backfill"
ON,2020-02-29,739,NA,22,NA,6,3,NA,768,NA,NA,NA,WBM,"backfill"
ON,2020-03-01,739,NA,22,NA,6,3,NA,768,NA,NA,NA,WBM,"backfill"
ON,2020-03-02,975,NA,12,NA,18,3,NA,1005,NA,NA,NA,WBM,"backfill"
ON,2020-03-03,1061,NA,45,NA,20,3,NA,1126,NA,NA,NA,WBM,"backfill"
ON,2020-03-04,1216,NA,102,NA,20,3,NA,1338,NA,NA,NA,WBM,NA
ON,2020-03-05,1466,NA,78,NA,22,4,NA,1566,NA,NA,NA,WBM,NA
ON,2020-03-06,1665,NA,72,NA,26,4,NA,1763,NA,NA,NA,WBM,NA
ON,2020-03-07,1918,NA,36,NA,28,4,NA,1982,NA,NA,NA,WBM,"backfill"
ON,2020-03-08,2094,NA,55,NA,28,4,NA,2178,NA,NA,NA,WBM,NA
ON,2020-03-09,2347,NA,22,NA,35,4,NA,2404,NA,NA,NA,WBM,NA
ON,2020-03-10,2347,NA,112,NA,36,5,NA,2747,NA,NA,NA,WBM,NA
ON,2020-03-11,2599,NA,465,NA,42,5,NA,3395,NA,NA,NA,WBM,NA
ON,2020-03-12,2888,NA,536,NA,59,5,NA,4185,NA,NA,NA,WBM,NA
ON,2020-03-13,5606,NA,580,NA,79,5,NA,5129,NA,NA,NA,WBM,NA
ON,2020-03-14,5606,NA,939,NA,103,5,NA,6648,NA,NA,NA,https://www.ontario.ca/page/2019-novel-coronavirus ,NA
ON,2020-03-15,7004,NA,1316,NA,145,5,NA,8465,NA,NA,NA,Input,NA
ON,2020-03-16,8464,NA,1537,NA,177,5,NA,10178,NA,NA,NA,Input,NA
ON,2020-03-17,9415,NA,1567,NA,189,5,1,11171,NA,NA,NA,Input,NA
ON,2020-03-18,10305,NA,3378,NA,214,5,1,13897,NA,NA,NA,Input,NA
ON,2020-03-19,12421,NA,3971,NA,258,5,2,16650,22,NA,NA,Input,"hosp filled in https://globalnews.ca/news/6701449/ontario-coronavirus-covid19-cases-march-19/"
ON,2020-03-20,13718,NA,5475,NA,318,5,2,19511,23,NA,NA,Input,"hosp filled in from update on the 23rd, see 4:30 https://www.youtube.com/watch?v=T2o_hAeWnQM"
ON,2020-03-21,15768,NA,7239,NA,377,6,3,23384,NA,NA,NA,Input,NA
ON,2020-03-22,17634,NA,8361,NA,425,8,5,26420,NA,NA,NA,Input,NA
ON,2020-03-23,19586,NA,8417,NA,503,8,6,28506,39,12,NA,Input,"hosp/icu filled in with march 24th link"
ON,2020-03-24,21795,NA,10074,NA,588,8,8,32457,50,17,7,Input, "cum hosp/icu/vent: https://globalnews.ca/news/6723905/ontario-coronavirus-covid-19-cases-march-24/"
ON,2020-03-25,24458,NA,10489,NA,688,8,13,35635,40,17,15,Input, "hosp/icu/vent filled in, 4:30 in the video https://globalnews.ca/news/6729654/ontario-coronavirus-covid-19-cases-march-25/"
ON,2020-03-26,26727,NA,10965,NA,858,8,15,38550,80,29,20,Input,"hosp/icu/vent filled in, 2:10, https://www.youtube.com/watch?v=WQPlwQU5EAI ; she said 80, but it really looks like 50"
ON,2020-03-27,29967,NA,10074,NA,993,8,18,41032,60,43,32,Input,"hosp/icu/vent filled in, 3:15, https://www.youtube.com/watch?v=dAU5BX5MIaE"
ON,2020-03-28,33240,NA,8690,NA,1144,8,19,43072,NA,63,46,Input,"ICU/vent filled in 3:28, https://www.youtube.com/watch?v=vr35lAdgrZU "
ON,2020-03-29,40630,NA,7203,NA,1355,8,23,49186,NA,NA,NA,Input,"2 deaths not lab confirmed"
ON,2020-03-30,NA,NA,5651,NA,1706,431,23,48461,NA,100,61,https://covid-19.ontario.ca/ ,"Last update on 10:30, stop reporting negative test and total test decrease; Resolved case close after 14 days past symptom onset"
ON,2020-03-31,NA,NA,4280,NA,1966,534,33,51629,291,125,82,Input, "filled in hosp/icu/vent 3:05, https://www.youtube.com/watch?v=DpeAtgXL558; new location with more detail data https://data.ontario.ca/dataset/status-of-covid-19-cases-in-ontario"
ON,2020-04-01,NA,NA,3135,NA,2392,689,37,57874,332,145,98,Input, "filled in hosp/icu/vent, 4:30, https://www.youtube.com/watch?v=Hs5RdmLq1GM"
ON,2020-04-02,NA,NA,2052,NA,2793,831,53,62733,405,167,112,Input, "filled in hosp/icu/vent, 3:25 in video, https://www.youtube.com/watch?v=gGf1X3YMBZg"
ON,2020-04-03,NA,NA,1245,NA,3255,1023,67,66753,462,194,140,Input, "140 in ICU on a ventilator"
ON,2020-04-04,NA,NA,1336,NA,3630,1219,94,71338,506,196,152,Input, NA
ON,2020-04-05,NA,NA,1449,NA,4038,1449,119,75046,523,200,154,Input, NA
ON,2020-04-06,NA,NA,329,NA,4347,1624,132,78796,589,216,160,Input, NA
ON,2020-04-07,NA,NA,691,NA,4726,1802,153,81364,614,233,187,Input, NA
ON,2020-04-08,NA,NA,1102,NA,5276,2074,174,84601,605,246,195,Input, NA
ON,2020-04-09,NA,NA,1208,NA,5759,2305,200,88698,632,264,214,Input, NA
ON,2020-04-10,NA,NA,1598,NA,6237,2574,222,92673,673,260,217,Input, NA
ON,2020-04-11,NA,NA,1517,NA,6648,2858,253,96321,691,257,215,Input, NA
ON,2020-04-12,NA,NA,1619,NA,7049,3121,274,103165,738,261,196,Input, NA
ON,2020-04-13,NA,NA,1534,NA,7470,3357,291,108230,760,263,203,Input, NA
ON,2020-04-14,NA,NA,2107,NA,7953,3568,334,113082,769,255,199,Input, NA
ON,2020-04-15,NA,NA,4429,NA,8447,3902,385,119092,795,254,188,Input, NA
ON,2020-04-16,NA,NA,4323,NA,8961,4194,423,128093,807,248,200,Input, NA
ON,2020-04-17,NA,NA,5993,NA,9525,4556,478,136992,829,245,200,Input, NA
ON,2020-04-18,NA,NA,6833,NA,10010,4875,514,146454,828,250,197,Input, NA
ON,2020-04-19,NA,NA,5736,NA,10578,5209,553,156097,809,247,196,Input, NA
ON,2020-04-20,NA,NA,3799,NA,11184,5515,584,164840,802,247,193,Input, NA
ON,2020-04-21,NA,NA,5546,NA,11735,5806,622,174170,859,250,194,Input, NA
ON,2020-04-22,NA,NA,6845,NA,12245,6221,659,184531,878,243,192,Input, NA
ON,2020-04-23,NA,NA,6757,NA,12879,6680,713,194745,887,233,185,Input, NA
ON,2020-04-24,NA,NA,5414,NA,13519,7087,763,207040,910,243,193,Input, NA
ON,2020-04-25,NA,NA,8171,NA,13995,7509,811,217618,925,245,195,Input, NA
ON,2020-04-26,NA,NA,7417,NA,14432,8000,835,229638,938,252,195,Input, NA
ON,2020-04-27,NA,NA,5001,NA,14856,8525,892,242188,945,241,191,Input, NA
ON,2020-04-28,NA,NA,6282,NA,15381,8964,951,253040,957,239,187,Input, NA
ON,2020-04-29,NA,NA,9530,NA,15728,9612,996,264594,977,235,186,Input, NA
ON,2020-04-30,NA,NA,11859,NA,16187,10205,1082,277522,999,233,181,Input, NA
ON,2020-05-01,NA,NA,11975,NA,16608,10825,1121,294054,1017,225,175,Input, NA
ON,2020-05-02,NA,NA,12829,NA,17119,11390,1176,310359,977,221,154,Input, NA
ON,2020-05-03,NA,NA,9785,NA,17553,12005,1216,327505,1010,232,174,Input, NA
ON,2020-05-04,NA,NA,6265,NA,17923,12505,1300,342060,984,225,175,Input, NA
ON,2020-05-05,NA,NA,6023,NA,18310,12779,1361,352714,1043,223,166,Input, NA
ON,2020-05-06,NA,NA,8790,NA,18722,13222,1429,365675,1032,219,174,Input, NA
ON,2020-05-07,NA,NA,13012,NA,19121,13569,1477,380854,1033,220,155,Input, NA
ON,2020-05-08,NA,NA,14641,NA,19598,13990,1540,397149,1028,213,166,Input, NA
ON,2020-05-09,NA,NA,15307,NA,19944,14383,1599,416376,1016,203,158,Input, NA
ON,2020-05-10,NA,NA,14816,NA,20238,14772,1634,433994,961,195,140,Input, NA
ON,2020-05-11,NA,NA,9018,NA,20546,15131,1669,447964,1027,194,147,Input, NA
ON,2020-05-12,NA,NA,10811,NA,20907,15391,1725,459921,1025,192,146,Input, NA
ON,2020-05-13,NA,NA,13395,NA,21236,15845,1765,475058,1018,189,144,Input, NA
ON,2020-05-14,NA,NA,17578,NA,21494,16204,1798,492487,1026,184,141,Input, NA
ON,2020-05-15,NA,NA,14373,NA,21922,16641,1825,510841,986,179,135,Input, NA
ON,2020-05-16,NA,NA,10565,NA,22313,17020,1858,528609,975,180,135,Input, NA
ON,2020-05-17,NA,NA,4414,NA,22653,17360,1881,544826,934,171,129,Input, NA
ON,2020-05-18,NA,NA,2189,NA,22957,17638,1904,553981,972,174,133,Input, NA
ON,2020-05-19,NA,NA,2294,NA,23384,17898,1919,559794,987,167,123,Input, NA
ON,2020-05-20,NA,NA,4444,NA,23774,18190,1962,567176,991,160,120,Input, NA
ON,2020-05-21,NA,NA,5051,NA,24187,18509,1993,577682,984,155,117,Input, NA
ON,2020-05-22,NA,NA,5516,NA,24628,18767,2021,588958,961,153,120,Input, NA
ON,2020-05-23,NA,NA,5871,NA,25040,19146,2048,599986,912,147,119,Input, NA
ON,2020-05-24,NA,NA,3216,NA,25500,19477,2073,611369,878,148,104,Input, NA
ON,2020-05-25,NA,NA,3883,NA,25904,19698,2102,619539,859,148,114,Input, NA
ON,2020-05-26,NA,NA,6961,NA,26191,19958,2123,629414,848,143,113,Input, NA
ON,2020-05-27,NA,NA,11817,NA,26483,20372,2155,644547,847,150,117,Input, NA
ON,2020-05-28,NA,NA,11868,NA,26866,20673,2189,662162,833,137,194,Input, NA
ON,2020-05-29,NA,NA,13351,NA,27210,20983,2230,680687,826,129,100,Input, NA
ON,2020-05-30,NA,NA,12760,NA,27533,21353,2247,701327,801,121,84,Input, NA
ON,2020-05-31,NA,NA,9647,NA,27859,21810,2266,718341,781,118,90,Input, NA
ON,2020-06-01,NA,NA,6427,NA,28263,22153,2276,732720,781,125,89,Input, NA
ON,2020-06-02,NA,NA,10622,NA,28709,22484,2293,747964,801,125,87,Input, NA
ON,2020-06-03,NA,NA,11636,NA,29047,22811,2312,765501,791,127,92,Input, NA
ON,2020-06-04,NA,NA,12760,NA,29403,23208,2357,786323,776,121,94,Input, NA
ON,2020-06-05,NA,NA,12247,NA,29747,23583,2372,809053,749,118,94,Input, NA
ON,2020-06-06,NA,NA,12384,NA,30202,23947,2407,832158,673,117,97,Input, NA
ON,2020-06-07,NA,NA,6779,NA,30617,24252,2426,851532,635,117,92,Input, NA
ON,2020-06-08,NA,NA,4811,NA,30860,24492,2450,866889,603,118,81,Input, NA
ON,2020-06-09,NA,NA,11020,NA,31090,24829,2464,880398,600,116,88,Input, NA
ON,2020-06-10,NA,NA,13897,NA,31341,25380,2475,900339,580,118,86,Input, NA
ON,2020-06-11,NA,NA,16359,NA,31544,25885,2487,924680,538,120,87,Input, NA
ON,2020-06-12,NA,NA,18512,NA,31726,26187,2498,953015,527,114,84,Input, NA
ON,2020-06-13,NA,NA,26158,NA,31992,26538,2507,980471,489,110,68,Input, NA
ON,2020-06-14,NA,NA,25290,NA,32189,26961,2519,1003749,438,103,77,Input, NA
ON,2020-06-15,NA,NA,18258,NA,32370,27213,2527,1025500,419,104,69,Input, NA
ON,2020-06-16,NA,NA,17920,NA,32554,27431,2538,1047224,413,98,70,Input, NA
ON,2020-06-17,NA,NA,21635,NA,32744,27784,2550,1071429,383,92,65,Input, NA
ON,2020-06-18,NA,NA,24887,NA,32917,28004,2553,1096707,351,84,60,Input, NA
ON,2020-06-19,NA,NA,21479,NA,33095,28250,2564,1123932,331,82,65,Input, NA
ON,2020-06-20,NA,NA,16963,NA,33301,28468,2595,1151319,333,80,63,Input, NA
ON,2020-06-21,NA,NA,15424,NA,33476,28719,2606,1174727,286,86,59,Input, NA
ON,2020-06-22,NA,NA,10027,NA,33637,28933,2609,1196627,265,76,58,Input, NA
ON,2020-06-23,NA,NA,16418,NA,33853,29107,2619,1212816,288,75,54,Input, NA
ON,2020-06-24,NA,NA,21398,NA,34016,29336,2631,1236023,278,73,48,Input, NA
ON,2020-06-25,NA,NA,24607,NA,34205,29528,2641,1263534,270,69,47,Input, NA
ON,2020-06-26,NA,NA,27344,NA,34316,29754,2644,1294314,256,61,41,Input, NA
ON,2020-06-27,NA,NA,33759,NA,34476,29932,2652,1327806,252,54,35,Input, NA
ON,2020-06-28,NA,NA,29592,NA,34654,30107,2658,1356439,214,51,36,Input, NA
ON,2020-06-29,NA,NA,16701,NA,34911,30196,2665,1383566,232,46,35,Input, NA
ON,2020-06-30,NA,NA,19318,NA,35068,30344,2672,1407325,213,42,34,Input, NA
ON,2020-07-01,NA,NA,23326,NA,35217,30526,2676,1433381,209,43,30,Input, NA
ON,2020-07-02,NA,NA,13922,NA,35370,30730,2680,1457703,119,40,26,Input, NA
ON,2020-07-03,NA,NA,15911,NA,35535,30909,2682,1481897,155,40,25,Input, NA
ON,2020-07-04,NA,NA,14594,NA,35656,31083,2687,1503322,150,39,26,Input, NA
ON,2020-07-05,NA,NA,11651,NA,35794,31266,2689,1527114,139,39,23,Input, NA
ON,2020-07-06,NA,NA,8931,NA,35948,31426,2689,1544417,118,36,21,Input, NA
ON,2020-07-07,NA,NA,12625,NA,36060,31603,2691,1559529,131,34,24,Input, NA
ON,2020-07-08,NA,NA,17116,NA,36178,31805,2700,1582361,123,35,26,Input, NA
ON,2020-07-09,NA,NA,21648,NA,36348,31977,2703,1608687,123,31,23,Input, NA
ON,2020-07-10,NA,NA,25668,NA,36464,32155,2710,1636171,117,34,24,Input, NA
ON,2020-07-11,NA,NA,22083,NA,36594,32422,2716,1665693,128,31,18,Input, NA
ON,2020-07-12,NA,NA,16174,NA,36723,32534,2719,1691419,116,29,19,Input, NA
ON,2020-07-13,NA,NA,7837,NA,36839,32663,2722,1712315,104,28,20,Input, NA
ON,2020-07-14,NA,NA,13918,NA,36950,32785,2723,1729059,137,30,21,Input, NA
ON,2020-07-15,NA,NA,22029,NA,37052,32920,2732,1752828,115,31,22,Input, NA
ON,2020-07-16,NA,NA,25297,NA,37163,33061,2737,1779320,107,26,20,Input, NA
ON,2020-07-17,NA,NA,24781,NA,37264,33162,2746,1810483,108,30,21,Input, NA
ON,2020-07-18,NA,NA,24551,NA,37440,33294,2748,1839332,105,33,22,Input, NA
ON,2020-07-19,NA,NA,18081,NA,37604,33407,2751,1866222,101,34,23,Input, NA
ON,2020-07-20,NA,NA,11351,NA,37739,33513,2752,1887135,115,37,24,Input, NA
ON,2020-07-21,NA,NA,11842,NA,37942,33605,2753,1910109,120,36,23,Input, NA
ON,2020-07-22,NA,NA,18881,NA,38107,33812,2755,1934099,128,37,19,Input, NA
ON,2020-07-23,NA,NA,21825,NA,38210,33963,2755,1960100,154,35,21,Input, NA
ON,2020-07-24,NA,NA,25550,NA,38405,34100,2758,1988909,141,31,20,Input, NA
ON,2020-07-25,NA,NA,26078,NA,38543,34240,2759,2018813,97,30,21,Input, NA
ON,2020-07-26,NA,NA,18000,NA,38680,34359,2763,2044957,87,29,21,Input, NA
ON,2020-07-27,NA,NA,9249,NA,38799,34461,2764,2069621,82,30,18,Input, NA
ON,2020-07-28,NA,NA,12919,NA,38910,34567,2768,2086955,96,31,18,Input, NA
ON,2020-07-29,NA,NA,18268,NA,38986,34741,2769,2114263,91,28,17,Input, NA
ON,2020-07-30,NA,NA,28267,NA,39075,34906,2772,2141939,84,27,16,Input, NA
ON,2020-07-31,NA,NA,29215,NA,39209,35074,2775,2171972,78,29,15,Input, NA
ON,2020-08-01,NA,NA,26984,NA,39333,35237,2777,2205254,73,27,12,Input, NA
ON,2020-08-02,NA,NA,17839,NA,39449,35359,2778,2235697,72,26,14,Input, NA
ON,2020-08-03,NA,NA,12953,NA,39537,35485,2778,2258718,75,25,13,Input, NA
ON,2020-08-04,NA,NA,9285,NA,39628,35601,2782,2277887,78,28,15,Input, NA
ON,2020-08-05,NA,NA,16407,NA,39714,35747,2782,2295116,66,30,15,Input, NA
ON,2020-08-06,NA,NA,19292,NA,39809,35906,2783,2321297,71,29,13,Input, NA
ON,2020-08-07,NA,NA,25077,NA,39897,36024,2783,2346433,66,28,12,Input, NA
ON,2020-08-08,NA,NA,26273,NA,39967,36131,2784,2372441,53,27,12,Input, NA
ON,2020-08-09,NA,NA,17540,NA,40046,36279,2786,2400212,55,26,12,Input, NA
ON,2020-08-10,NA,NA,10865,NA,40161,36381,2786,2422487,49,25,14,Input, NA
ON,2020-08-11,NA,NA,14677,NA,40194,36456,2786,2444068,60,21,12,Input, NA
ON,2020-08-12,NA,NA,22054,NA,40289,36590,2787,2468640,49,20,10,Input, NA
ON,2020-08-13,NA,NA,29049,NA,40367,36689,2787,2498266,43,20,10,Input, NA
ON,2020-08-14,NA,NA,35426,NA,40459,36772,2788,2528403,41,17,9,Input, NA
ON,2020-08-15,NA,NA,33852,NA,40565,36873,2789,2558839,39,17,10,Input, NA
ON,2020-08-16,NA,NA,25847,NA,40646,36953,2789,2582652,37,18,9,Input, NA
ON,2020-08-17,NA,NA,15076,NA,40745,37036,2789,2608219,32,16,10,Input, NA
ON,2020-08-18,NA,NA,16128,NA,40870,37126,2793,2631286,41,15,10,Input, NA
ON,2020-08-19,NA,NA,15490,NA,40972,37215,2792,2656928,42,15,10,Input, "death dropped by 1"
ON,2020-08-20,NA,NA,22104,NA,41048,37291,2793,2682845,35,15,8,Input, NA
ON,2020-08-21,NA,NA,19941,NA,41179,37397,2796,2710918,35,13,7,Input, NA
ON,2020-08-22,NA,NA,17965,NA,41287,37487,2797,2739574,40,13,7,Input, NA
ON,2020-08-23,NA,NA,16115,NA,41402,37595,2797,2762958,41,11,6,Input, NA
ON,2020-08-24,NA,NA,9229,NA,41507,37673,2798,2781748,40,12,7,Input, NA
ON,2020-08-25,NA,NA,17259,NA,41607,37748,2800,2801761,39,13,10,Input, NA
ON,2020-08-26,NA,NA,20716,NA,41695,37863,2802,2823721,43,15,10,Input, NA
ON,2020-08-27,NA,NA,26179,NA,41813,37940,2803,2852345,48,18,10,Input, NA
ON,2020-08-28,NA,NA,30512,NA,41935,38023,2809,2884169,61,18,12,Input, NA
ON,2020-08-29,NA,NA,29491,NA,42083,38126,2809,2916275,51,17,5,Input, NA
ON,2020-08-30,NA,NA,23880,NA,42195,38204,2810,2941245,51,20,10,Input, NA
ON,2020-08-31,NA,NA,13542,NA,42309,38277,2811,2966343,49,18,9,Input, NA
ON,2020-09-01,NA,NA,15748,NA,42421,38369,2812,2989888,65,17,5,Input, NA
ON,2020-09-02,NA,NA,18273,NA,42554,38506,2812,3013892,60,13,9,Input, NA
ON,2020-09-03,NA,NA,22769,NA,42686,38625,2812,3040190,60,12,9,Input, NA
ON,2020-09-04,NA,NA,25945,NA,42834,38741,2811,3068781,66,13,8,Input, NA
ON,2020-09-05,NA,NA,23357,NA,43003,38847,2811,3097453,58,14,8,Input, NA
ON,2020-09-06,NA,NA,17698,NA,43161,38958,2813,3126408,52,15,9,Input, NA
ON,2020-09-07,NA,NA,10540,NA,43351,39077,2813,3150133,55,18,8,Input, NA
ON,2020-09-08,NA,NA,8357,NA,43536,39196,2813,3171062,54,17,7,Input, NA
ON,2020-09-09,NA,NA,20062,NA,43685,39332,2813,3188667,55,15,8,Input, NA
ON,2020-09-10,NA,NA,25850,NA,43855,39474,2814,3213336,54,14,9,Input, NA
ON,2020-09-11,NA,NA,31384,NA,44068,39598,2813,3245837,49,18,9,Input, NA
ON,2020-09-12,NA,NA,30491,NA,44300,39717,2814,3281455,43,12,8,Input, NA
ON,2020-09-13,NA,NA,26765,NA,44504,39841,2815,3312598,39,14,9,Input, NA
ON,2020-09-14,NA,NA,19260,NA,44817,39974,2816,3342138,47,17,8,Input, NA
ON,2020-09-15,NA,NA,24339,NA,45068,40091,2820,3369802,47,19,11,Input, NA
ON,2020-09-16,NA,NA,28346,NA,45383,40245,2822,3398563,44,20,12,Input, NA
ON,2020-09-17,NA,NA,37624,NA,45676,40424,2825,3433697,53,21,12,Input, NA
ON,2020-09-18,NA,NA,40443,NA,46077,40600,2825,3469523,58,20,10,Input, NA
ON,2020-09-19,NA,NA,42778,NA,46484,40777,2826,3508463,64,20,10,Input, NA
ON,2020-09-20,NA,NA,37671,NA,46849,40968,2827,3548590,63,23,10,Input, NA
ON,2020-09-21,NA,NA,32489,NA,47274,41146,2829,3580343,65,22,12,Input, NA
ON,2020-09-22,NA,NA,39788,NA,47752,41342,2832,3614544,82,24,11,Input, NA
ON,2020-09-23,NA,NA,48079,NA,48087,41600,2835,3649980,88,24,9,Input, NA
ON,2020-09-24,NA,NA,53840,NA,48496,41886,2836,3680614,88,27,11,Input, NA
ON,2020-09-25,NA,NA,65227,NA,48905,42169,2837,3722479,87,25,13,Input, NA
ON,2020-09-26,NA,NA,68040,NA,49340,42507,2837,3765717,100,28,15,Input, NA
ON,2020-09-27,NA,NA,65061,NA,49831,42796,2839,3808226,112,28,16,Input, NA
ON,2020-09-28,NA,NA,49486,NA,50531,43127,2840,3849337,128,29,17,Input, NA
ON,2020-09-29,NA,NA,54759,NA,51085,43450,2844,3887712,137,30,16,Input, NA
ON,2020-09-30,NA,NA,67126,NA,51710,43907,2848,3923465,150,35,17,Input, NA
ON,2020-10-01,NA,NA,82473,NA,52248,44422,2851,3963111,162,36,17,Input, NA
ON,2020-10-02,NA,NA,90513,NA,52980,44850,2927,4003204,167,38,21,Input, NA
ON,2020-10-03,NA,NA,91522,NA,53633,45285,2968,4049458,155,41,23,Input, NA
ON,2020-10-04,NA,NA,78953,NA,54199,45819,2975,4089119,169,43,25,Input, NA
ON,2020-10-05,NA,NA,68006,NA,54814,46360,2980,4127315,179,43,26,Input, NA
ON,2020-10-06,NA,NA,55483,NA,55362,46906,2987,4169346,192,41,26,Input, NA
ON,2020-10-07,NA,NA,55413,NA,55945,47613,2988,4212623,195,43,28,Input, NA
ON,2020-10-08,NA,NA,58118,NA,56742,48308,2992,4261111,206,47,29,Input, NA
ON,2020-10-09,NA,NA,58173,NA,57681,49032,2997,4306025,225,47,29,Input, NA
ON,2020-10-10,NA,NA,56138,NA,58490,49732,3004,4350323,213,48,29,Input, NA
ON,2020-10-11,NA,NA,45837,NA,59139,50437,3005,4394461,217,51,32,Input, NA
ON,2020-10-12,NA,NA,32473,NA,59946,51105,3008,4430934,203,53,30,Input, NA
ON,2020-10-13,NA,NA,24420,NA,60692,51729,3017,4462167,230,60,34,Input, NA
ON,2020-10-14,NA,NA,26558,NA,61413,52512,3017,4494373,231,64,35,Input, NA
ON,2020-10-15,NA,NA,36314,NA,62196,53291,3022,4534334,253,62,31,Input, NA
ON,2020-10-16,NA,NA,37155,NA,62908,54004,3031,4572841,261,67,36,Input, NA
ON,2020-10-17,NA,NA,33630,NA,63713,54686,3041,4617563,278,72,42,Input, NA
ON,2020-10-18,NA,NA,23609,NA,64371,55371,3046,4658413,247,71,43,Input, NA
ON,2020-10-19,NA,NA,16303,NA,65075,55978,3050,4690277,252,69,40,Input, NA
ON,2020-10-20,NA,NA,24129,NA,65896,56606,3053,4714326,274,72,45,Input, NA
ON,2020-10-21,NA,NA,29332,NA,66686,57325,3062,4746972,260,71,49,Input, NA
ON,2020-10-22,NA,NA,34784,NA,67527,58066,3071,4785832,270,74,48,Input, NA
ON,2020-10-23,NA,NA,35436,NA,68353,58799,3080,4825851,276,78,47,Input, NA
ON,2020-10-24,NA,NA,30922,NA,69331,59424,3086,4870002,294,82,53,Input, NA
ON,2020-10-25,NA,NA,23601,NA,70373,60160,3093,4908771,278,79,54,Input, NA
ON,2020-10-26,NA,NA,17603,NA,71224,60839,3099,4937423,295,78,51,Input, NA
ON,2020-10-27,NA,NA,22636,NA,72051,61530,3103,4961368,312,75,52,Input, NA
ON,2020-10-28,NA,NA,33906,NA,72885,62303,3108,4991378,312,71,51,Input, NA
ON,2020-10-29,NA,NA,40074,NA,73819,63123,3118,5026999,322,77,52,Input, NA
ON,2020-10-30,NA,NA,41063,NA,74715,63919,3127,5068007,314,75,52,Input, NA
ON,2020-10-31,NA,NA,36262,NA,75730,64717,3136,5109927,320,73,54,Input, NA
ON,2020-11-01,NA,NA,23933,NA,76707,65581,3145,5147060,350,72,46,Input, NA
ON,2020-11-02,NA,NA,15397,NA,77655,66407,3152,5174968,328,75,45,Input, NA
ON,2020-11-03,NA,NA,20758,NA,78705,67244,3166,5200247,357,73,47,Input, NA
ON,2020-11-04,NA,NA,33087,NA,79692,68189,3182,5228814,367,75,44,Input, NA
ON,2020-11-05,NA,NA,41787,NA,80690,69137,3195,5264568,381,86,48,Input, NA
ON,2020-11-06,NA,NA,47074,NA,81693,70086,3209,5305836,380,86,49,Input, NA
ON,2020-11-07,NA,NA,44572,NA,82825,70938,3220,5345001,384,88,52,Input, NA
ON,2020-11-08,NA,NA,35776,NA,84153,71815,3233,5382478,374,86,51,Input, NA
ON,2020-11-09,NA,NA,26646,NA,85395,72636,3245,5410979,367,84,54,Input, NA
ON,2020-11-10,NA,NA,29125,NA,86783,73417,3260,5440104,422,82,54,Input, NA
ON,2020-11-11,NA,NA,36707,NA,88209,74303,3275,5476811,424,88,57,Input, NA
ON,2020-11-12,NA,NA,41977,NA,89784,75220,3293,5516370,431,98,62,Input, NA
ON,2020-11-13,NA,NA,44507,NA,91180,76238,3312,5556879,452,106,67,Input, NA
ON,2020-11-14,NA,NA,39767,NA,92761,77241,3332,5601716,502,107,66,Input, NA
